kda_agentkey,kda_mapkey,kda_kill,kda_death,kda_assist,kda_winrate,kda_atkwin,kda_defwin,kda_agentpr
163,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
164,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
165,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
166,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
167,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
168,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
169,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
170,1,13.5,12,3.4,0.51,0.49,0.52,0.13
1,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
2,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
3,2,12,12.6,4,0.49,0.48,0.51,0.07
4,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
5,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
6,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
7,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
8,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
9,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
10,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
11,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
12,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
13,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
14,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
15,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
16,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
17,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
18,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
19,2,12,12.6,4,0.49,0.48,0.51,0.07
20,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
21,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
22,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
23,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
24,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
25,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
26,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
27,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
28,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
29,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
30,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
31,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
32,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
33,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
34,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
35,2,12,12.6,4,0.49,0.48,0.51,0.07
36,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
37,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
38,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
39,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
40,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
41,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
42,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
43,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
44,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
45,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
46,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
47,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
48,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
49,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
50,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
51,2,12,12.6,4,0.49,0.48,0.51,0.07
52,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
53,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
54,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
55,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
56,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
57,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
58,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
59,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
60,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
61,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
62,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
63,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
64,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
65,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
66,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
67,2,12,12.6,4,0.49,0.48,0.51,0.07
68,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
69,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
70,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
71,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
72,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
73,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
74,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
75,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
76,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
77,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
78,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
79,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
80,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
81,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
82,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
83,2,12,12.6,4,0.49,0.48,0.51,0.07
84,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
85,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
86,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
87,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
88,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
89,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
90,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
91,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
92,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
93,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
94,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
95,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
96,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
97,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
98,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
99,2,12,12.6,4,0.49,0.48,0.51,0.07
100,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
101,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
102,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
103,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
104,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
105,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
106,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
107,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
108,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
109,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
110,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
111,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
112,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
113,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
114,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
115,2,12,12.6,4,0.49,0.48,0.51,0.07
116,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
117,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
118,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
119,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
120,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
121,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
122,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
123,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
124,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
125,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
126,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
127,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
128,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
129,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
130,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
131,2,12,12.6,4,0.49,0.48,0.51,0.07
132,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
133,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
134,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
135,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
136,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
137,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
138,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
139,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
140,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
141,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
142,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
143,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
144,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
145,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
146,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
147,2,12,12.6,4,0.49,0.48,0.51,0.07
148,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
149,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
150,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
151,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
152,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
153,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
154,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
155,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
156,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
157,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
158,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
159,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
160,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
161,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
162,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
163,2,12,12.6,4,0.49,0.48,0.51,0.07
164,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
165,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
166,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
167,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
168,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
169,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
170,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
1,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
2,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
3,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
4,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
5,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
6,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
7,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
8,3,11,11,3.1,0.51,0.48,0.51,0.06
9,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
10,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
11,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
12,3,10.1,11.2,3.9,0.48,0.48,0.50,0.03
13,3,10.3,11,3.2,0.48,0.49,0.51,0.03
14,3,9.5,10.4,2.4,0.46,0.48,0.49,0.04
15,3,12.6,12.2,3.9,0.50,0.48,0.50,0.01
16,3,9.2,10.2,4.4,0.47,0.47,0.50,0.03
17,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
18,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
19,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
20,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
21,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
22,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
23,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
24,3,11,11,3.1,0.51,0.48,0.51,0.06
25,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
26,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
27,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
28,3,10.1,11.2,3.9,0.48,0.48,0.50,0.03
29,3,10.3,11,3.2,0.48,0.49,0.51,0.03
30,3,9.5,10.4,2.4,0.46,0.48,0.49,0.04
31,3,12.6,12.2,3.9,0.50,0.48,0.50,0.01
32,3,9.2,10.2,4.4,0.47,0.47,0.50,0.03
33,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
34,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
35,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
36,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
37,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
38,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
39,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
40,3,11,11,3.1,0.51,0.48,0.51,0.06
41,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
42,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
43,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
44,3,10.1,11.2,3.9,0.48,0.48,0.50,0.03
45,3,10.3,11,3.2,0.48,0.49,0.51,0.03
46,3,9.5,10.4,2.4,0.46,0.48,0.49,0.04
47,3,12.6,12.2,3.9,0.50,0.48,0.50,0.01
48,3,9.2,10.2,4.4,0.47,0.47,0.50,0.03
49,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
50,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
51,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
52,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
53,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
54,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
55,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
56,3,11,11,3.1,0.51,0.48,0.51,0.06
57,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
58,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
59,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
60,3,10.1,11.2,3.9,0.48,0.48,0.50,0.03
61,3,10.3,11,3.2,0.48,0.49,0.51,0.03
62,3,9.5,10.4,2.4,0.46,0.48,0.49,0.04
63,3,12.6,12.2,3.9,0.50,0.48,0.50,0.01
64,3,9.2,10.2,4.4,0.47,0.47,0.50,0.03
65,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
66,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
67,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
68,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
69,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
70,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
71,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
72,3,11,11,3.1,0.51,0.48,0.51,0.06
73,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
74,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
75,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
76,3,10.1,11.2,3.9,0.48,0.48,0.50,0.03
77,3,10.3,11,3.2,0.48,0.49,0.51,0.03
78,3,9.5,10.4,2.4,0.46,0.48,0.49,0.04
79,3,12.6,12.2,3.9,0.50,0.48,0.50,0.01
80,3,9.2,10.2,4.4,0.47,0.47,0.50,0.03
81,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
82,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
83,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
84,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
85,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
86,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
87,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
88,3,11,11,3.1,0.51,0.48,0.51,0.06
89,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
90,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
91,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
92,3,10.1,11.2,3.9,0.48,0.48,0.50,0.03
93,3,10.3,11,3.2,0.48,0.49,0.51,0.03
94,3,9.5,10.4,2.4,0.46,0.48,0.49,0.04
